series_id,industry_sector,current_employment,payroll,supersector,group,industry_sector_clean
20000000,Construction,746400,Nonfarm,Construction,Goods Producing,Construction
30000000,Manufacturing,1185000,Nonfarm,Manufacturing,Goods Producing,Manufacturing
41000000,Wholesale Trade,631700,Nonfarm,"Trade, Transportation and Utilities",Service Providing,Wholesale trade
42000000,Retail Trade,1372800,Nonfarm,"Trade, Transportation and Utilities",Service Providing,Retail trade
43000000,"Transportation, Warehousing and Utilitie",661800,Nonfarm,"Trade, Transportation and Utilities",Service Providing,"Transportation, warehousing, utilities"
50000000,Information,545800,Nonfarm,Information,Service Providing,Information
55520000,Finance and Insurance,542100,Nonfarm,Financial Activities,Service Providing,Finance and insurance
55530000,Real Estate and Rental and Leasing,279500,Nonfarm,Financial Activities,Service Providing,Real estate
60540000,"Professional, Scientific and Technical S",1267900,Nonfarm,Professional and Business Services,Service Providing,"Professional, scientific, technical"
60550000,Management of Companies and Enterprises,239200,Nonfarm,Professional and Business Services,Service Providing,Management of companies and enterprises
60560000,Administrative and Support and Waste Ser,969000,Nonfarm,Professional and Business Services,Service Providing,Administrative and support
65610000,Educational Services,352400,Nonfarm,Educational and Health Services,Service Providing,Educational services
65620000,Health Care and Social Assistance,2195700,Nonfarm,Educational and Health Services,Service Providing,Health care and social assistance
70710000,"Arts, Entertainment, and Recreation",175400,Nonfarm,Leisure and Hospitality,Service Providing,"Arts, entertainment and recreation"
70720000,Accommodation and Food Service,918800,Nonfarm,Leisure and Hospitality,Service Providing,Accommodation and food service
80000000,Other Services,411100,Nonfarm,Other Services,Service Providing,Other services
90000000,Government,2532500,Nonfarm,Government,Service Providing,Government