id,contractNum,inmateDeathAmt,inmateDeathHcon,inmateRecoveries,inmatePositiveAmt,staffPositiveAmt,staffRecoveries,staffDeathAmt,update_date
"Waco, TX",additional_118,0,0,0,1,0,0,0,2021-01-07
"San Antonio, TX",additional_19,0,0,13,4,0,0,0,2021-01-07
"Tyler,TX",additional_65,0,0,8,0,0,0,0,2021-01-07
"Corpus Christi, TX",15BRRC19D00000161,0,0,1,0,0,0,0,2021-01-07
"Houston, TX",DJB200242,2,0,16,1,0,0,0,2021-01-07
"Little Rock, AR",additional_37,0,0,1,0,0,0,0,2021-01-07
"Del Rio, TX",additional_42,0,0,6,0,0,0,0,2021-01-07
"El Paso, TX",additional_96,0,0,3,0,0,0,0,2021-01-07
"Edinburg, TX",additional_35,0,0,25,3,0,0,0,2021-01-07
"Albuquerque, NM",additional_13,0,0,32,1,0,0,0,2021-01-07
"Midland, TX",additional_50,0,0,11,0,0,0,0,2021-01-07
"Laredo, TX",additional_24,0,0,2,2,0,0,0,2021-01-07
"Saint Louis, MO",DJB200282,0,0,2,0,0,0,0,2021-01-07
"Farmington, MO",15BRRC19D00000148,0,0,1,2,0,0,0,2021-01-07
"Springfield, MO",additional_64,0,0,3,0,0,0,0,2021-01-07
"El Dorado, KS",additional_117,0,0,0,1,0,0,0,2021-01-07
"Sioux City, IA",additional_22,0,0,2,1,0,0,0,2021-01-07
"Kearney, NE",additional_84,0,0,1,0,0,0,0,2021-01-07
"Roseville, MN",additional_68,0,0,6,0,0,0,0,2021-01-07
"Toledo, OH",DJB200236,0,0,3,0,0,0,0,2021-01-07
"Manchester, KY",additional_7,0,0,1,0,0,0,0,2021-01-07
"Memphis, TN",additional_105,0,0,1,0,0,0,0,2021-01-07
"Omaha, NE",additional_62,0,0,5,0,0,0,0,2021-01-07
"Denver, CO",additional_89,1,0,6,0,0,0,0,2021-01-07
"Mandan, ND",additional_71,0,0,2,0,0,0,0,2021-01-07
"Leavenworth, KS",15BRRC19D00000149,0,0,26,2,0,0,0,2021-01-07
"Wichita, KS",additional_95,0,0,6,0,0,0,0,2021-01-07
"Boise, ID",additional_87,0,0,3,6,0,0,0,2021-01-07
"Mills, WY",additional_97,0,0,6,0,0,0,0,2021-01-07
"Great Falls, MT",additional_85,0,0,6,0,0,0,0,2021-01-07
"Devils Lake, ND",additional_104,0,0,4,0,0,0,0,2021-01-07
"Fargo, ND",additional_23,0,0,8,0,0,0,0,2021-01-07
"Fargo, ND",additional_14,0,0,1,0,0,0,0,2021-01-07
"Billings, MT",additional_44,0,0,1,0,0,0,0,2021-01-07
"Sacramento, CA",15BRRC18D00000106,0,0,1,0,0,0,0,2021-01-07
"Van Nuys, CA",additional_58,0,0,2,3,0,0,0,2021-01-07
"Tucson, AZ",additional_29,0,0,5,6,0,0,0,2021-01-07
"San Diego, CA",additional_12,0,0,10,4,0,0,0,2021-01-07
"Las Vegas, NV",additional_28,0,0,9,0,0,0,0,2021-01-07
"Billings, MT",additional_77,0,0,1,0,0,0,0,2021-01-07
"Los Angeles, CA",additional_111,0,0,1,6,0,0,0,2021-01-07
"Salt Lake City, UT",additional_38,0,0,21,0,0,0,0,2021-01-07
"El Monte, CA",additional_51,0,0,3,3,0,0,0,2021-01-07
"San Francisco, CA",additional_20,0,0,0,2,0,0,0,2021-01-07
"Garden Grove, CA",additional_59,0,0,4,6,0,0,0,2021-01-07
"Los Angeles, CA",additional_1,0,0,0,2,0,0,0,2021-01-07
"Rubidoux, CA",additional_67,0,0,5,7,0,0,0,2021-01-07
"Phoenix, AZ",DJB200252,1,0,4,0,0,0,0,2021-01-07
"Brawley, CA",additional_21,1,0,10,0,0,0,0,2021-01-07
"Oakland, CA",15BRRC20D00000011,0,0,4,0,0,0,0,2021-01-07
"Atlanta, GA",additional_30,0,0,3,3,0,0,0,2021-01-07
"San Juan, PR",additional_63,0,0,15,0,0,0,0,2021-01-07
"Greenville, SC",DJB200296,0,0,3,0,0,0,0,2021-01-07
"Augusta, GA",additional_79,0,0,1,0,0,0,0,2021-01-07
"Savannah, GA",additional_80,0,0,5,0,0,0,0,2021-01-07
"Brooklyn, NY",15BRRC19D00000249,0,0,10,2,0,0,0,2021-01-07
"Bridgeton, NJ",additional_98,0,0,2,0,0,0,0,2021-01-07
"Buffalo, NY",additional_83,0,0,1,2,0,0,0,2021-01-07
"Philadelphia, PA",15BRRC19D00000162,0,0,0,1,0,0,0,2021-01-07
"Neward, NJ",additional_91,1,0,8,1,0,0,0,2021-01-07
"Syracuse, NY",additional_78,0,0,2,1,0,0,0,2021-01-07
"Pawtucket, RI",additional_107,0,0,3,0,0,0,0,2021-01-07
"Manchester, NH",additional_4,0,0,1,0,0,0,0,2021-01-07
"Del Valle, TX",additional_34,1,1,0,0,0,0,0,2021-01-07
"Anchorage, AK",additional_94,0,0,1,0,0,0,0,2021-01-08
"Portland, OR",additional_52,0,0,2,0,0,0,0,2021-01-08
"Florence, AZ",additional_5,0,0,1,0,0,0,0,2021-01-08
"Seattle, WA",DJB200280,0,0,1,0,0,0,0,2021-01-08
"Tacoma, WA",additional_109,0,0,1,1,0,0,0,2021-01-08
"Hartford, CT",additional_3,0,0,1,0,0,0,0,2021-01-08
"Boston, MA",15BRRC20D00000046,0,0,6,0,0,0,0,2021-01-08
"Portland, ME",additional_112,0,0,1,0,0,0,0,2021-01-08
"Washington, DC",additional_110,0,0,1,0,0,0,0,2021-01-08
"Detriot, MI",15BRRC19D00000203,0,0,3,7,0,0,0,2021-01-08
"Nashville, TN",additional_103,0,0,3,1,0,0,0,2021-01-08
"Greensboro, NC",additional_10,0,0,1,0,0,0,0,2021-01-08
"Memphis, TN",additional_45,0,0,16,2,0,0,0,2021-01-08
"St Albans, WV",additional_113,0,0,8,2,0,0,0,2021-01-08
"Wilmington, DE",15BRRC19D00000025,0,0,2,0,0,0,0,2021-01-08
"Norfolk, VA",additional_48,0,0,1,0,0,0,0,2021-01-08
"Baltimore, MD",additional_53,0,0,4,17,0,0,0,2021-01-08
"Lexington, KY",additional_8,0,0,1,0,0,0,0,2021-01-08
"Clarksburg, WV",additional_116,0,0,0,8,0,0,0,2021-01-08
"Harrisburg, PA",additional_101,0,0,5,0,0,0,0,2021-01-08
"Philadelphia, PA",15BRRC19D00000194,0,0,12,0,0,0,0,2021-01-08
"Bronx, NY",additional_2,1,1,1,0,0,0,0,2021-01-08
"Rochester,NY",15BRRC19D00000218,0,0,9,0,0,0,0,2021-01-08
"Pittsburgh, PA",additional_114,0,0,1,1,0,0,0,2021-01-08
"Cleveland, OH",additional_49,0,0,3,2,0,0,0,2021-01-08
"Hartford, CT",15BRRC20D00000297,0,0,1,0,0,0,0,2021-01-08
"Louisville, KY",additional_86,0,0,4,0,0,0,0,2021-01-08
"West Palm Beach, FL",additional_60,0,0,11,0,0,0,0,2021-01-08
"Knoxville, TN",additional_66,0,0,1,0,0,0,0,2021-01-08
"Dania, FL",15BRRC19D00000208,0,0,4,1,0,0,0,2021-01-08
"Birmingham, AL",15BRRC19D00000207,0,0,2,1,0,0,0,2021-01-08
"Miami, FL",additional_41,0,0,5,2,0,0,0,2021-01-08
"Chattanooga, TN",additional_25,0,0,5,0,0,0,0,2021-01-08
"FT Myers, FL",additional_40,0,0,1,0,0,0,0,2021-01-08
"Florence, SC",additional_81,0,0,11,0,0,0,0,2021-01-08
"Hattiesburg, MS",additional_43,1,1,0,0,0,0,0,2021-01-08
"Jacksonville, FL",additional_39,0,0,10,0,0,0,0,2021-01-08
"Tallahassee, FL",additional_75,0,0,1,0,0,0,0,2021-01-08
"Tampa, FL",additional_18,0,0,3,0,0,0,0,2021-01-08
"Columbia, SC",additional_108,0,0,3,3,0,0,0,2021-01-08
"Miami, FL",additional_100,0,0,1,1,0,0,0,2021-01-08
"Orlando, FL",additional_57,0,0,2,0,0,0,0,2021-01-08
"Janesville, WI",additional_115,0,0,1,0,0,0,0,2021-01-08
"Minneapolis, MN",15BRRC20D00000275,0,0,6,0,0,0,0,2021-01-08
"Janesville, WI",additional_106,0,0,2,1,0,0,0,2021-01-08
"Youngstown, OH",additional_102,0,0,3,0,0,0,0,2021-01-08
"Ciincinnati, OH",additional_55,0,0,4,1,0,0,0,2021-01-08
"Indianapolis, IN",additional_16,0,0,5,0,0,0,0,2021-01-08
"Marion, IL",additional_92,0,0,1,0,0,0,0,2021-01-08
"Chicago, IL",15BRRC18D00000091,0,0,12,1,0,0,0,2021-01-08
"Peoria, IL",additional_90,0,0,7,0,0,0,0,2021-01-08
"Springfield, IL",additional_88,0,0,1,0,0,0,0,2021-01-08
"Grand Rapids, MI",15BRRC19D00000005,0,0,5,0,0,0,0,2021-01-08
"Rapid City, SD",additional_11,0,0,2,0,0,0,0,2021-01-08
"Brownsville, TX",additional_31,1,1,2,0,0,0,0,2021-01-08
"Chaparral, NM",additional_6,0,0,1,0,0,0,0,2021-01-08
"Hutchins, TX",15BRRC19D00000185,1,0,12,2,0,0,0,2021-01-08
"Waco, TX",additional_118,0,0,0,1,0,0,0,2021-01-08
"San Antonio, TX",additional_19,0,0,13,6,0,0,0,2021-01-08
"Tyler,TX",additional_65,0,0,8,0,0,0,0,2021-01-08
"Corpus Christi, TX",15BRRC19D00000161,0,0,1,0,0,0,0,2021-01-08
"Houston, TX",DJB200242,2,0,16,1,0,0,0,2021-01-08
"Little Rock, AR",additional_37,0,0,1,0,0,0,0,2021-01-08
"Del Rio, TX",additional_42,0,0,6,0,0,0,0,2021-01-08
"El Paso, TX",additional_96,0,0,3,0,0,0,0,2021-01-08
"Edinburg, TX",additional_35,0,0,25,3,0,0,0,2021-01-08
"Albuquerque, NM",additional_13,0,0,32,1,0,0,0,2021-01-08
"Midland, TX",additional_50,0,0,11,0,0,0,0,2021-01-08
"Laredo, TX",additional_24,0,0,2,2,0,0,0,2021-01-08
"Saint Louis, MO",DJB200282,0,0,2,0,0,0,0,2021-01-08
"Farmington, MO",15BRRC19D00000148,0,0,1,2,0,0,0,2021-01-08
"Springfield, MO",additional_64,0,0,3,0,0,0,0,2021-01-08
"El Dorado, KS",additional_117,0,0,0,1,0,0,0,2021-01-08
"Sioux City, IA",additional_22,0,0,2,1,0,0,0,2021-01-08
"Kearney, NE",additional_84,0,0,1,0,0,0,0,2021-01-08
"Roseville, MN",additional_68,0,0,6,0,0,0,0,2021-01-08
"Toledo, OH",DJB200236,0,0,3,0,0,0,0,2021-01-08
"Manchester, KY",additional_7,0,0,1,0,0,0,0,2021-01-08
"Memphis, TN",additional_105,0,0,1,0,0,0,0,2021-01-08
"Omaha, NE",additional_62,0,0,5,0,0,0,0,2021-01-08
"Denver, CO",additional_89,1,0,6,0,0,0,0,2021-01-08
"Mandan, ND",additional_71,0,0,2,0,0,0,0,2021-01-08
"Leavenworth, KS",15BRRC19D00000149,0,0,26,2,0,0,0,2021-01-08
"Wichita, KS",additional_95,0,0,6,0,0,0,0,2021-01-08
"Boise, ID",additional_87,0,0,7,2,0,0,0,2021-01-08
"Mills, WY",additional_97,0,0,6,0,0,0,0,2021-01-08
"Great Falls, MT",additional_85,0,0,6,0,0,0,0,2021-01-08
"Devils Lake, ND",additional_104,0,0,4,0,0,0,0,2021-01-08
"Fargo, ND",additional_23,0,0,8,0,0,0,0,2021-01-08
"Fargo, ND",additional_14,0,0,1,0,0,0,0,2021-01-08
"Billings, MT",additional_44,0,0,1,0,0,0,0,2021-01-08
"Sacramento, CA",15BRRC18D00000106,0,0,1,0,0,0,0,2021-01-08
"Van Nuys, CA",additional_58,0,0,2,3,0,0,0,2021-01-08
"Tucson, AZ",additional_29,0,0,6,6,0,0,0,2021-01-08
"San Diego, CA",additional_12,0,0,10,4,0,0,0,2021-01-08
"Las Vegas, NV",additional_28,0,0,9,0,0,0,0,2021-01-08
"Billings, MT",additional_77,0,0,1,0,0,0,0,2021-01-08
"Los Angeles, CA",additional_111,0,0,1,6,0,0,0,2021-01-08
"Salt Lake City, UT",additional_38,0,0,21,0,0,0,0,2021-01-08
"El Monte, CA",additional_51,0,0,3,3,0,0,0,2021-01-08
"San Francisco, CA",additional_20,0,0,0,2,0,0,0,2021-01-08
"Garden Grove, CA",additional_59,0,0,4,6,0,0,0,2021-01-08
"Los Angeles, CA",additional_1,0,0,1,1,0,0,0,2021-01-08
"Rubidoux, CA",additional_67,0,0,8,4,0,0,0,2021-01-08
"Phoenix, AZ",DJB200252,1,0,4,0,0,0,0,2021-01-08
"Brawley, CA",additional_21,1,0,10,0,0,0,0,2021-01-08
"Oakland, CA",15BRRC20D00000011,0,0,4,0,0,0,0,2021-01-08
"Atlanta, GA",additional_30,0,0,3,3,0,0,0,2021-01-08
"San Juan, PR",additional_63,0,0,15,0,0,0,0,2021-01-08
"Greenville, SC",DJB200296,0,0,3,0,0,0,0,2021-01-08
"Augusta, GA",additional_79,0,0,1,0,0,0,0,2021-01-08
"Savannah, GA",additional_80,0,0,5,0,0,0,0,2021-01-08
"Brooklyn, NY",15BRRC19D00000249,0,0,10,2,0,0,0,2021-01-08
"Bridgeton, NJ",additional_98,0,0,2,0,0,0,0,2021-01-08
"Buffalo, NY",additional_83,0,0,1,2,0,0,0,2021-01-08
"Philadelphia, PA",15BRRC19D00000162,0,0,0,1,0,0,0,2021-01-08
"Neward, NJ",additional_91,1,0,8,1,0,0,0,2021-01-08
"Syracuse, NY",additional_78,0,0,2,1,0,0,0,2021-01-08
"Pawtucket, RI",additional_107,0,0,3,0,0,0,0,2021-01-08
"Manchester, NH",additional_4,0,0,1,0,0,0,0,2021-01-08
"Del Valle, TX",additional_34,1,1,0,0,0,0,0,2021-01-08
"Anchorage, AK",additional_94,0,0,1,0,0,0,0,2021-01-11
"Portland, OR",additional_52,0,0,2,0,0,0,0,2021-01-11
"Florence, AZ",additional_5,0,0,1,0,0,0,0,2021-01-11
"Seattle, WA",DJB200280,0,0,1,0,0,0,0,2021-01-11
"Tacoma, WA",additional_109,0,0,1,1,0,0,0,2021-01-11
"Hartford, CT",additional_3,0,0,1,0,0,0,0,2021-01-11
"Boston, MA",15BRRC20D00000046,0,0,6,0,0,0,0,2021-01-11
"Portland, ME",additional_112,0,0,1,0,0,0,0,2021-01-11
"Washington, DC",additional_110,0,0,1,0,0,0,0,2021-01-11
"Detriot, MI",15BRRC19D00000203,0,0,3,7,0,0,0,2021-01-11
"Nashville, TN",additional_103,0,0,3,12,0,0,0,2021-01-11
"Greensboro, NC",additional_10,0,0,1,0,0,0,0,2021-01-11
"Memphis, TN",additional_45,0,0,16,2,0,0,0,2021-01-11
"St Albans, WV",additional_113,0,0,7,2,0,0,0,2021-01-11
"Wilmington, DE",15BRRC19D00000025,0,0,2,0,0,0,0,2021-01-11
"Norfolk, VA",additional_48,0,0,1,0,0,0,0,2021-01-11
"Baltimore, MD",additional_53,0,0,4,17,0,0,0,2021-01-11
"Lexington, KY",additional_8,0,0,1,3,0,0,0,2021-01-11
"Clarksburg, WV",additional_116,0,0,0,8,0,0,0,2021-01-11
"Harrisburg, PA",additional_101,0,0,5,0,0,0,0,2021-01-11
"Philadelphia, PA",15BRRC19D00000194,0,0,12,1,0,0,0,2021-01-11
"Bronx, NY",additional_2,1,1,1,0,0,0,0,2021-01-11
"Rochester,NY",15BRRC19D00000218,0,0,9,0,0,0,0,2021-01-11
"Pittsburgh, PA",additional_114,0,0,1,1,0,0,0,2021-01-11
"Cleveland, OH",additional_49,0,0,3,2,0,0,0,2021-01-11
"Hartford, CT",15BRRC20D00000297,0,0,1,0,0,0,0,2021-01-11
"Louisville, KY",additional_86,0,0,4,0,0,0,0,2021-01-11
"West Palm Beach, FL",additional_60,0,0,11,0,0,0,0,2021-01-11
"Knoxville, TN",additional_66,0,0,1,0,0,0,0,2021-01-11
"Dania, FL",15BRRC19D00000208,0,0,3,1,0,0,0,2021-01-11
"Birmingham, AL",15BRRC19D00000207,0,0,2,2,0,0,0,2021-01-11
"Miami, FL",additional_41,0,0,5,2,0,0,0,2021-01-11
"Chattanooga, TN",additional_25,0,0,5,0,0,0,0,2021-01-11
"FT Myers, FL",additional_40,0,0,1,0,0,0,0,2021-01-11
"Florence, SC",additional_81,0,0,10,0,0,0,0,2021-01-11
"Hattiesburg, MS",additional_43,1,1,0,0,0,0,0,2021-01-11
"Jacksonville, FL",additional_39,0,0,9,0,0,0,0,2021-01-11
"Tallahassee, FL",additional_75,0,0,1,0,0,0,0,2021-01-11
"Tampa, FL",additional_18,0,0,3,0,0,0,0,2021-01-11
"Columbia, SC",additional_108,0,0,3,3,0,0,0,2021-01-11
"Miami, FL",additional_100,0,0,1,1,0,0,0,2021-01-11
"Orlando, FL",additional_57,0,0,2,0,0,0,0,2021-01-11
"Janesville, WI",additional_115,0,0,1,0,0,0,0,2021-01-11
"Minneapolis, MN",15BRRC20D00000275,0,0,6,0,0,0,0,2021-01-11
"Janesville, WI",additional_106,0,0,2,1,0,0,0,2021-01-11
"Youngstown, OH",additional_102,0,0,3,0,0,0,0,2021-01-11
"Ciincinnati, OH",additional_55,0,0,4,1,0,0,0,2021-01-11
"Indianapolis, IN",additional_16,0,0,5,0,0,0,0,2021-01-11
"Marion, IL",additional_92,0,0,1,0,0,0,0,2021-01-11
"Chicago, IL",15BRRC18D00000091,0,0,11,1,0,0,0,2021-01-11
"Peoria, IL",additional_90,0,0,7,0,0,0,0,2021-01-11
"Springfield, IL",additional_88,0,0,1,0,0,0,0,2021-01-11
"Grand Rapids, MI",15BRRC19D00000005,0,0,5,0,0,0,0,2021-01-11
"Rapid City, SD",additional_11,0,0,2,0,0,0,0,2021-01-11
"Brownsville, TX",additional_31,1,1,2,0,0,0,0,2021-01-11
"Chaparral, NM",additional_6,0,0,1,0,0,0,0,2021-01-11
"Hutchins, TX",15BRRC19D00000185,1,0,12,2,0,0,0,2021-01-11
"Waco, TX",additional_118,0,0,0,1,0,0,0,2021-01-11
"San Antonio, TX",additional_19,0,0,11,6,0,0,0,2021-01-11
"Tyler,TX",additional_65,0,0,8,0,0,0,0,2021-01-11
"Corpus Christi, TX",15BRRC19D00000161,0,0,1,0,0,0,0,2021-01-11
"Houston, TX",DJB200242,2,0,16,1,0,0,0,2021-01-11
"Little Rock, AR",additional_37,0,0,1,0,0,0,0,2021-01-11
"Del Rio, TX",additional_42,0,0,5,0,0,0,0,2021-01-11
"El Paso, TX",additional_96,0,0,3,0,0,0,0,2021-01-11
"Edinburg, TX",additional_35,0,0,23,3,0,0,0,2021-01-11
"Albuquerque, NM",additional_13,0,0,31,1,0,0,0,2021-01-11
"Midland, TX",additional_50,0,0,10,0,0,0,0,2021-01-11
"Laredo, TX",additional_24,0,0,2,2,0,0,0,2021-01-11
"Saint Louis, MO",DJB200282,0,0,2,0,0,0,0,2021-01-11
"Farmington, MO",15BRRC19D00000148,0,0,1,2,0,0,0,2021-01-11
"Springfield, MO",additional_64,0,0,3,0,0,0,0,2021-01-11
"El Dorado, KS",additional_117,0,0,0,1,0,0,0,2021-01-11
"Sioux City, IA",additional_22,0,0,2,1,0,0,0,2021-01-11
"Topeka, KS",additional_27,0,0,0,1,0,0,0,2021-01-11
"Kearney, NE",additional_84,0,0,1,0,0,0,0,2021-01-11
"Roseville, MN",additional_68,0,0,6,0,0,0,0,2021-01-11
"Toledo, OH",DJB200236,0,0,2,0,0,0,0,2021-01-11
"Manchester, KY",additional_7,0,0,1,0,0,0,0,2021-01-11
"Memphis, TN",additional_105,0,0,1,0,0,0,0,2021-01-11
"Omaha, NE",additional_62,0,0,5,0,0,0,0,2021-01-11
"Denver, CO",additional_89,1,0,6,0,0,0,0,2021-01-11
"Mandan, ND",additional_71,0,0,2,0,0,0,0,2021-01-11
"Leavenworth, KS",15BRRC19D00000149,0,0,25,2,0,0,0,2021-01-11
"Wichita, KS",additional_95,0,0,5,0,0,0,0,2021-01-11
"Boise, ID",additional_87,0,0,7,2,0,0,0,2021-01-11
"Mills, WY",additional_97,0,0,6,0,0,0,0,2021-01-11
"Great Falls, MT",additional_85,0,0,4,0,0,0,0,2021-01-11
"Devils Lake, ND",additional_104,0,0,4,0,0,0,0,2021-01-11
"Fargo, ND",additional_23,0,0,8,0,0,0,0,2021-01-11
"Fargo, ND",additional_14,0,0,1,0,0,0,0,2021-01-11
"Billings, MT",additional_44,0,0,1,0,0,0,0,2021-01-11
"Sacramento, CA",15BRRC18D00000106,0,0,1,0,0,0,0,2021-01-11
"Van Nuys, CA",additional_58,0,0,2,3,0,0,0,2021-01-11
"Tucson, AZ",additional_29,0,0,6,6,0,0,0,2021-01-11
"San Diego, CA",additional_12,0,0,10,4,0,0,0,2021-01-11
"Las Vegas, NV",additional_28,0,0,9,0,0,0,0,2021-01-11
"Billings, MT",additional_77,0,0,1,0,0,0,0,2021-01-11
"Los Angeles, CA",additional_111,0,0,1,6,0,0,0,2021-01-11
"Salt Lake City, UT",additional_38,0,0,18,0,0,0,0,2021-01-11
"El Monte, CA",additional_51,0,0,3,3,0,0,0,2021-01-11
"San Francisco, CA",additional_20,0,0,0,2,0,0,0,2021-01-11
"Garden Grove, CA",additional_59,0,0,4,6,0,0,0,2021-01-11
"Los Angeles, CA",additional_1,0,0,1,1,0,0,0,2021-01-11
"Rubidoux, CA",additional_67,0,0,7,3,0,0,0,2021-01-11
"Phoenix, AZ",DJB200252,1,0,3,0,0,0,0,2021-01-11
"Brawley, CA",additional_21,1,0,8,0,0,0,0,2021-01-11
"Oakland, CA",15BRRC20D00000011,0,0,3,0,0,0,0,2021-01-11
"Atlanta, GA",additional_30,0,0,3,3,0,0,0,2021-01-11
"San Juan, PR",additional_63,0,0,13,0,0,0,0,2021-01-11
"Greenville, SC",DJB200296,0,0,3,0,0,0,0,2021-01-11
"Augusta, GA",additional_79,0,0,1,0,0,0,0,2021-01-11
"Savannah, GA",additional_80,0,0,5,0,0,0,0,2021-01-11
"Brooklyn, NY",15BRRC19D00000249,0,0,8,2,0,0,0,2021-01-11
"Bridgeton, NJ",additional_98,0,0,2,0,0,0,0,2021-01-11
"Buffalo, NY",additional_83,0,0,1,2,0,0,0,2021-01-11
"Philadelphia, PA",15BRRC19D00000162,0,0,0,1,0,0,0,2021-01-11
"Neward, NJ",additional_91,1,0,8,1,0,0,0,2021-01-11
"Syracuse, NY",additional_78,0,0,2,1,0,0,0,2021-01-11
"Pawtucket, RI",additional_107,0,0,3,0,0,0,0,2021-01-11
"Manchester, NH",additional_4,0,0,1,0,0,0,0,2021-01-11
"Del Valle, TX",additional_34,1,1,0,0,0,0,0,2021-01-11
"Anchorage, AK",additional_94,0,0,1,0,0,0,0,2021-01-12
"Portland, OR",additional_52,0,0,2,0,0,0,0,2021-01-12
"Florence, AZ",additional_5,0,0,1,0,0,0,0,2021-01-12
"Seattle, WA",DJB200280,0,0,1,0,0,0,0,2021-01-12
"Tacoma, WA",additional_109,0,0,1,1,0,0,0,2021-01-12
"Hartford, CT",additional_3,0,0,1,0,0,0,0,2021-01-12
"Boston, MA",15BRRC20D00000046,0,0,6,0,0,0,0,2021-01-12
"Portland, ME",additional_112,0,0,1,0,0,0,0,2021-01-12
"Washington, DC",additional_110,0,0,1,0,0,0,0,2021-01-12
"Detriot, MI",15BRRC19D00000203,0,0,7,3,0,0,0,2021-01-12
"Nashville, TN",additional_103,0,0,3,12,0,0,0,2021-01-12
"Greensboro, NC",additional_10,0,0,1,0,0,0,0,2021-01-12
"Memphis, TN",additional_45,0,0,16,6,0,0,0,2021-01-12
"St Albans, WV",additional_113,0,0,9,0,0,0,0,2021-01-12
"Wilmington, DE",15BRRC19D00000025,0,0,2,0,0,0,0,2021-01-12
"Norfolk, VA",additional_48,0,0,1,0,0,0,0,2021-01-12
"Baltimore, MD",additional_53,0,0,16,5,0,0,0,2021-01-12
"Lexington, KY",additional_8,0,0,2,2,0,0,0,2021-01-12
"Clarksburg, WV",additional_116,0,0,1,7,0,0,0,2021-01-12
"Harrisburg, PA",additional_101,0,0,5,0,0,0,0,2021-01-12
"Philadelphia, PA",15BRRC19D00000194,0,0,12,1,0,0,0,2021-01-12
"Bronx, NY",additional_2,1,1,1,0,0,0,0,2021-01-12
"Rochester,NY",15BRRC19D00000218,0,0,9,0,0,0,0,2021-01-12
"Pittsburgh, PA",additional_114,0,0,1,2,0,0,0,2021-01-12
"Cleveland, OH",additional_49,0,0,4,1,0,0,0,2021-01-12
"Hartford, CT",15BRRC20D00000297,0,0,1,0,0,0,0,2021-01-12
"Louisville, KY",additional_86,0,0,4,0,0,0,0,2021-01-12
"West Palm Beach, FL",additional_60,0,0,11,0,0,0,0,2021-01-12
"Knoxville, TN",additional_66,0,0,1,0,0,0,0,2021-01-12
"Dania, FL",15BRRC19D00000208,0,0,3,1,0,0,0,2021-01-12
"Birmingham, AL",15BRRC19D00000207,0,0,2,3,0,0,0,2021-01-12
"Miami, FL",additional_41,0,0,5,2,0,0,0,2021-01-12
